ID_Transacao,Data_Envio,ID_Cliente,Valor_Frete_USD,Status_Entrega
TRX001,15/01/2024,CLI001,45.50,Entregue
TRX002,2024-01-16,CLI002,67.80,em_transito
TRX003,17/01/2024,CLI003,,Entregue
TRX004,2024-01-18,CLI004,89.99,CANCELADO
TRX005,19/01/2024,CLI005,52.30,em_transito
TRX006,2024-01-20,CLI001,45.50,Entregue
TRX007,21/01/2024,CLI006,,em_transito
TRX008,2024-01-22,CLI007,123.45,ENTREGUE
TRX009,23/01/2024,CLI008,78.60,cancelado
TRX010,2024-01-24,CLI002,67.80,Em_Trânsito
TRX011,25/01/2024,CLI009,94.25,Entregue
TRX012,2024-01-26,CLI010,,CANCELADO
TRX013,27/01/2024,CLI003,156.78,em_transito
TRX014,2024-01-28,CLI001,45.50,Entregue
TRX015,29/01/2024,CLI011,210.99,em_transito
TRX016,2024-02-01,CLI012,,Entregue
TRX017,02/02/2024,CLI013,88.45,CANCELADO
TRX018,2024-02-03,CLI014,65.20,Em_Trânsito
TRX019,04/02/2024,CLI004,89.99,em_transito
TRX020,2024-02-05,CLI015,134.56,Entregue
TRX021,06/02/2024,CLI016,,ENTREGUE
TRX022,2024-02-07,CLI017,99.99,cancelado
TRX023,08/02/2024,CLI005,52.30,em_transito
TRX024,2024-02-09,CLI018,167.34,Entregue
TRX025,10/02/2024,CLI019,,Em_Trânsito
TRX026,2024-02-11,CLI020,145.67,CANCELADO
TRX027,12/02/2024,CLI006,,Entregue
TRX028,2024-02-13,CLI021,201.45,em_transito
TRX029,14/02/2024,CLI022,76.89,ENTREGUE
TRX030,2024-02-15,CLI002,67.80,Em_Trânsito
TRX031,16/02/2024,CLI023,,cancelado
TRX032,2024-02-17,CLI007,123.45,Entregue
TRX033,18/02/2024,CLI024,92.34,em_transito
TRX034,2024-02-19,CLI001,45.50,CANCELADO
TRX035,20/02/2024,CLI025,,Em_Trânsito
TRX036,2024-02-21,CLI008,78.60,Entregue
TRX037,22/02/2024,CLI026,156.78,ENTREGUE
TRX038,2024-02-23,CLI009,94.25,em_transito
TRX039,24/02/2024,CLI010,,cancelado
TRX040,2024-02-25,CLI011,210.99,Entregue
TRX041,26/02/2024,CLI027,,Em_Trânsito
TRX042,2024-02-27,CLI028,188.56,em_transito
TRX043,28/02/2024,CLI012,,ENTREGUE
TRX044,2024-03-01,CLI013,88.45,Cancelado
TRX045,03/03/2024,CLI014,65.20,em_transito
TRX046,2024-03-04,CLI015,134.56,ENTREGUE
TRX047,05/03/2024,CLI016,,Em_Trânsito
TRX048,2024-03-06,CLI017,99.99,Entregue
TRX049,07/03/2024,CLI005,52.30,em_transito
TRX050,2024-03-08,CLI018,167.34,CANCELADO
